Geography;Population Density;year;code;Healthspd;Government Spending Score;Population;Obesity;continent;date;total_cases;total_deaths;aged_65_older;total_cases_per_million;total_deaths_per_million;stringency_index;Rural Population;institutional_index;percentage_rural_pop;institutional_index_new;turismo
Dominican Republic;222,3;2019;DOM;120;90,3;10739000;29;North America;30/11/2020;143988;2331;6,981;13145,131;212,805;64,81;1954500;-0,968228917;0,182000186;0,391790271;7550
El Salvador;311,5;2019;SLV;142,5;86,3;6453600;23,5;North America;30/11/2020;38941;1114;8,273;5973,92;170,898;47,22;1758900;-1,134030657;0,272545556;0,371482205;2639
Guatemala;158,6;2019;GTM;53,2;95,6;16991000;19,7;North America;30/11/2020;122062;4171;4,694;6688,377;228,55;49,54;8249600;-1,934672977;0,485527632;0,273416306;2560
Jamaica;272,2;2019;JAM;169,8;76;2948300;25,7;North America;30/11/2020;10763;257;9,684;3619,686;86,431;71,3;1297700;0,106634762;0,440151952;0,523443908;4233
Mexico;64,7;2019;MEX;113,2;78,2;125792600;29,6;North America;30/11/2020;1113543;105940;6,857;8548,472;813,283;71,76;24781200;-1,335304557;0,197000459;0,346829367;97406
Nicaragua;54,4;2019;NIC;91,8;79,1;6545500;23,2;North America;30/11/2020;5784;160;5,445;862,977;23,872;8,33;2699400;-2,734758243;0,412405469;0,175418637;1455
Panama;57,2;2019;PAN;309,8;85,3;4246400;24,1;North America;30/11/2020;165806;3079;7,918;37841,575;702,714;58,33;1356400;-0,178938937;0,319423512;0,48846569;2494
Paraguay;17,7;2019;PRY;83,8;78,9;7044600;20,5;South America;30/11/2020;82424;1756;6,378;11416,634;243,225;63,89;2685500;-1,275538788;0,38121398;0,354149719;4368
Trinidad and Tobago;271,9;2019;TTO;393,2;61,9;1395000;21,4;North America;30/11/2020;6669;120;10,014;4752,119;85,508;65,74;653000;-0,271320274;0,468100358;0,477150451;480
Uruguay;19,6;2019;URY;268,6;67,5;3438600;30,1;South America;30/11/2020;5857;77;14,655;1680,558;22,094;43,52;157300;1,788314126;0,045745361;0,729422776;3480
Algeria;18,1;2019;DZA;97,5;48,7;43053100;29,1;Africa;30/11/2020;83199;2431;6,211;1864,753;54,486;72,22;11666600;-2,501959953;0,270981648;0,20393271;2371
Angola;25,5;2019;AGO;14;80,7;31825300;7,5;Africa;30/11/2020;15139;348;2,405;446,136;10,255;57,41;10764300;-2,555802996;0,338230904;0,197337797;218
Bahrain;1902,3;2019;BHR;1040,3;62,7;1483800;33,5;Asia;30/11/2020;86956;341;2,372;49737,601;195,047;54,63;157300;-0,563671295;0,106011592;0,44134212;11061
Botswana;4,1;2019;BWA;179,2;65,9;2303700;17,2;Africa;30/11/2020;10742;34;3,941;4480,986;14,183;50,93;687100;1,068379734;0,298259322;0,641242309;0
