Geography;vae;pve;gee;rqe;rle;cce;Population Density;year;code;health_sp_2019;health_sp_2018;health_sp_2017;government_spending_score;population;obesity;continent;date;total_cases;total_deaths;aged_65_older;total_cases_per_million;total_deaths_per_million;stringency_index;gdp_per_capita;rural_population;tourism;unemployment;idh;escolaridade;institutional_index;percentage_rural_pop;sum_cont_stringency;count_cont_stringency;avg_stringency_index;institutional_index_new
Ireland;1,305089474;0,96638912;1,291791558;1,602041841;1,383474469;1,494598866;71,2;2019;IRL;4038,2;3924,7;3665,7;77,4;4904200;28,9;Europe;2020-11-30;72544;2053;13,928;14558,579;412,009;81,48;67335,293;1743800;10951000;4,95;0,955;12,5;2,90316564;0,355572774;2018,06;32;52,7317284;0,870288982
Italy;0,906643748;0,40438509;0,483174384;0,95505017;0,303281367;0,264569908;200,9;2019;ITA;2321,3;2280,3;2250,7;26,5;59816700;23,9;Europe;2020-11-30;1601554;55576;23,021;26530,083;920,628;82,41;35220,084;17502900;95399000;9,95;0,892;10,2;0,91963079;0,29260892;2018,06;32;52,7317284;0,627302602
Luxembourg;1,493552446;1,349190593;1,733295798;1,700020313;1,793766856;2,112312317;253,4;2019;LUX;5516,8;5346,5;5220;46,6;615700;25,4;Europe;2020-11-30;34678;321;14,312;54627,025;505,66;60,19;94277,965;54000;1041000;5,6;0,916;12,1;3,79360276;0,087705051;2018,06;32;52,7317284;0,979369038
Malta;1,081704974;1,02458334;0,858118594;0,955732524;0,952384651;0,239903465;1376,2;2019;MLT;2060,5;1841,6;1604;56,1;440400;32,1;Europe;2020-11-30;9873;137;19,426;19187,118;266,245;52,78;36513,323;23400;3519000;3,4;0,895;11,3;1,633004436;0,053133515;2018,06;32;52,7317284;0,714692083
Netherlands;1,48545599;0,847549617;1,803272367;1,86122787;1,777760029;1,906102777;513,3;2019;NLD;4031;3897,4;3732,3;42,9;17282200;24,4;Europe;2020-11-30;531930;9453;18,779;30974,616;550,454;56,48;48472,545;1412800;20129000;3,38;0,944;12,2;3,612438537;0,081748851;2018,06;32;52,7317284;0,957176114
Norway;1,655280709;1,170564771;1,861934543;1,804199815;1,985299587;2,073592663;14,6;2019;NOR;6131,2;5826,9;5595,4;25,3;5328200;26,1;Europe;2020-11-30;36150;332;16,821;6614,06;60,743;56,02;64800,057;926600;5879000;3,69;0,957;12,6;3,955739894;0,173904883;2018,06;32;52,7317284;0,999231111
Portugal;1,196465731;1,066230536;1,168681502;0,969835103;1,138517737;0,778424621;112,2;2019;PRT;1475,2;1425,1;1353;35,6;10276600;24,5;Europe;2020-11-30;298061;4505;21,502;29313,853;443,06;75;27936,896;3518800;17174000;6,46;0,864;9,2;2,154212329;0,342408968;2018,06;32;52,7317284;0,778540933
Spain;1,037761688;0,310685813;1,001175284;1,050283313;1,025826097;0,698955595;93,9;2019;ESP;1857,3;1786,3;1702,5;46,2;46937100;28,5;Europe;2020-11-30;1648187;45069;19,436;35258,949;964,142;71,3;34272,36;9121800;126170000;14,1;0,904;9,8;1,712407966;0,194340937;2018,06;32;52,7317284;0,72441915
Sweden;1,560975313;1,039472699;1,709257245;1,801819921;1,832538962;2,131290197;25,1;2019;SWE;3695,1;3622,8;3437,9;26,7;10230200;23,2;Europe;2020-11-30;243129;6681;19,985;23929,645;657,568;64,81;46949,283;1258000;7616000;6,83;0,945;12,4;3,769032555;0,122969248;2018,06;32;52,7317284;0,976359146
Switzerland;1,497048736;1,32495296;1,951758146;1,664614797;1,907008171;1,983491302;216,2;2019;CHE;1889,4;1874,1;1859,9;64,8;8544500;22,3;Europe;2020-11-30;327072;5053;18,436;37527,649;579,772;57,41;57410,166;2232000;11818000;4,39;0,955;13,4;3,856272731;0,261220668;2018,06;32;52,7317284;0,987046215
Turkey;-0,834299862;-1,371727586;0,047889322;-0,007641004;-0,282656252;-0,308261365;106,5;2019;TUR;395,3;340,4;289,1;65,1;82003900;34;Asia;2020-11-30;638847;13746;8,153;7512,07;161,636;66,2;25129,341;19984300;51747000;13,67;0,82;8;-1,422691612;0,243699385;1793,97;30;54,16096386;0,34036414
United Kingdom;1,261398792;0,53973186;1,48273766;1,62598598;1,60670197;1,78597486;275,5;2019;GBR;3205,3;3106;3025,2;48,2;66647100;31,2;Europe;2020-11-30;1633736;58545;18,517;23952,575;858,342;67,59;39753,244;10896600;40857000;3,74;0,932;12,9;3,063203647;0,163496986;2018,06;32;52,7317284;0,889893909
